genre,artist,artwork,filename
Action_painting,antonio-palolo,untitled-1992.jpg,antonio-palolo_untitled-1992.jpg
Action_painting,franz-kline,accent-grave-1955.jpg,franz-kline_accent-grave-1955.jpg
Action_painting,franz-kline,black-and-white-png.jpg,franz-kline_black-and-white-png.jpg
Action_painting,franz-kline,blueberry-eyes-1960.jpg,franz-kline_blueberry-eyes-1960.jpg
Action_painting,franz-kline,buttress-1956.jpg,franz-kline_buttress-1956.jpg
Action_painting,franz-kline,c-and-o-1958.jpg,franz-kline_c-and-o-1958.jpg
Action_painting,franz-kline,cardinal-1950.jpg,franz-kline_cardinal-1950.jpg
Action_painting,franz-kline,chief-1950.jpg,franz-kline_chief-1950.jpg
Action_painting,franz-kline,delaware-gap.jpg,franz-kline_delaware-gap.jpg
Action_painting,franz-kline,figure-eight-1952.jpg,franz-kline_figure-eight-1952.jpg
Action_painting,franz-kline,four-square-1956.jpg,franz-kline_four-square-1956.jpg
Action_painting,franz-kline,herald-1954.jpg,franz-kline_herald-1954.jpg
Action_painting,franz-kline,horizontal-rust-1960.jpg,franz-kline_horizontal-rust-1960.jpg
Action_painting,franz-kline,le-gros.jpg,franz-kline_le-gros.jpg
Action_painting,franz-kline,mahoning-1956.jpg,franz-kline_mahoning-1956.jpg
Action_painting,franz-kline,meryon-1961.jpg,franz-kline_meryon-1961.jpg
Action_painting,franz-kline,mycenae-1958.jpg,franz-kline_mycenae-1958.jpg
Action_painting,franz-kline,new-york-1953.jpg,franz-kline_new-york-1953.jpg
Action_painting,franz-kline,number-2-1954.jpg,franz-kline_number-2-1954.jpg
Action_painting,franz-kline,number-2.jpg,franz-kline_number-2.jpg
Action_painting,franz-kline,opustena.jpg,franz-kline_opustena.jpg
Action_painting,franz-kline,orange-outline-1955.jpg,franz-kline_orange-outline-1955.jpg
Action_painting,franz-kline,painting-no-7.jpg,franz-kline_painting-no-7.jpg
Action_painting,franz-kline,palladio-1961.jpg,franz-kline_palladio-1961.jpg
